method,episode_1based,schedule_phase,raw_terminal_penalty,raw_reasoning_cost_component,raw_total_cost,strict_clean_success,assistant_required,assistant_success_proxy,actual_modes,required_modes,mismatch_bucket,majority_pair,root_conditional_prob,final_action,oracle_action
direct_multistage_exp3,1,trap_pre_switch,1.5,5.40531,6.97621,False,False,,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.2,repair_all,repair_all
direct_multistage_exp3,2,trap_pre_switch,0.0,4.575095,4.6419950000000005,True,False,,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.21145074210443576,repair_all,repair_all
direct_multistage_exp3,3,trap_pre_switch,0.0,5.00694,5.07714,True,False,,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.16030623393898524,repair_all,repair_all
direct_multistage_exp3,4,trap_pre_switch,4.0,4.87846,8.956859999999999,False,True,False,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.18770957540512062,repair_subset,repair_subset
direct_multistage_exp3,5,trap_pre_switch,1.5,4.10649,5.67249,False,False,,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.1304578535594549,repair_all,repair_all
direct_multistage_exp3,6,target_post_switch,13.0,7.95337,21.027369999999998,False,True,False,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,7,target_post_switch,13.0,5.902045,18.968145,False,True,False,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,both_mismatch_types,mostly_deep_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,8,target_post_switch,11.0,5.51753,16.588729999999998,False,False,,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_all
direct_multistage_exp3,9,target_post_switch,21.0,4.26479,25.33999,False,True,False,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,all_stage_modes_match,mostly_deep_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,10,target_post_switch,15.0,5.85816,20.92596,False,True,False,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,0.1401403471447778,repair_subset,repair_subset
direct_multistage_exp3,11,target_post_switch,3.0,3.90911,6.97081,False,True,False,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_deep_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,12,target_post_switch,17.0,4.41324,21.478839999999998,False,False,,fast/deep/deep/fast/fast,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,0.1401403471447778,repair_subset,repair_all
direct_multistage_exp3,13,target_post_switch,19.0,4.558665,23.618565,False,True,False,fast/deep/deep/fast/fast,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_fast_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,14,target_post_switch,15.0,4.735625,19.804825,False,True,False,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,both_mismatch_types,mostly_deep_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,15,target_post_switch,1.0,4.863615,5.941115,False,True,False,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,all_stage_modes_match,mostly_deep_vs_mostly_deep_required,0.2559831758438228,transfer,transfer
direct_multistage_exp3,16,target_post_switch,3.0,4.65308,7.72768,False,True,False,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_deep_vs_mostly_deep_required,0.2559831758438228,repair_subset,repair_subset
direct_multistage_exp3,17,target_post_switch,2.0,4.42476,6.50066,False,True,False,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,all_stage_modes_match,mostly_deep_vs_mostly_deep_required,0.1401403471447778,repair_subset,repair_subset
direct_multistage_exp3,18,target_post_switch,0.0,6.40314,6.4691399999999994,True,False,,deep/fast/fast/deep/fast,fast/deep/deep/deep/deep,both_mismatch_types,mostly_fast_vs_mostly_deep_required,0.09191012532375374,repair_all,repair_all
direct_multistage_exp3,19,target_post_switch,6.0,6.02652,12.09822,False,True,True,fast/deep/deep/deep/fast,fast/deep/deep/deep/deep,fast_on_deep_required,mostly_deep_vs_mostly_deep_required,0.1401403471447778,repair_all,repair_subset
direct_multistage_exp3,20,target_post_switch,3.5,4.54444,8.12304,False,True,True,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,all_stage_modes_match,mostly_deep_vs_mostly_deep_required,0.1401403471447778,repair_all,repair_subset
epsilon_exp3,1,trap_pre_switch,1.5,4.89676,6.46226,False,False,,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.2,repair_all,repair_all
epsilon_exp3,2,trap_pre_switch,0.0,4.214565,4.277565,True,False,,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.2106861446768568,repair_all,repair_all
epsilon_exp3,3,trap_pre_switch,0.0,4.32032,4.37942,True,False,,fast/deep/deep/deep/fast,fast/fast/fast/fast/fast,deep_on_fast_required,mostly_deep_vs_mostly_fast_required,0.16302192120205933,repair_all,repair_all
