task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_added_blockers_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,13.0,0.07750000000000001,3.814715,16.892215,21.392215,40331.0,1137.0,41468.0,12,0,1,1,4.5,4648.0,0,0,4.5,0.00478305,21,repair_subset,partially_repairable,,1,1,0,False,False,True,0,,"[""airplane_mode_on""]","[""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,11.0,0.05580000000000001,4.220255,15.276055,40.026055,34695.0,862.0,35557.0,10,0,1,2,24.75,23007.0,0,0,24.75,0.00404145,23,repair_subset,partially_repairable,,2,1,0,False,False,False,0,,"[""airplane_mode_on"", ""unseat_sim_card""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,13.0,0.0671,3.659065,16.726165,29.726165,34477.0,908.0,35385.0,10,0,1,1,13.0,12603.0,0,0,13.0,0.00352755,21,repair_subset,partially_repairable,,1,1,0,False,False,False,0,,"[""airplane_mode_on""]","[""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,11.0,0.07010000000000001,3.805535,14.875634999999999,19.375635,40447.0,1081.0,41528.0,12,0,1,2,4.5,4648.0,0,0,4.5,0.00433485,23,repair_subset,partially_repairable,,2,1,0,False,False,False,0,,"[""airplane_mode_on"", ""unseat_sim_card""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,13.0,0.07900000000000001,3.53957,16.618570000000002,21.118570000000002,36958.0,1171.0,38129.0,11,0,1,1,4.5,4648.0,0,0,4.5,0.0037407,21,repair_subset,partially_repairable,,1,1,0,False,False,True,0,,"[""airplane_mode_on""]","[""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.07750000000000001,4.160325,4.237825,8.737825,43073.0,1468.0,44541.0,12,0,2,9,4.5,4678.0,0,0,4.5,0.0045673499999999995,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,9.0,0.05580000000000001,4.589035,13.644835,40.144835,36717.0,1121.0,37838.0,10,0,2,5,26.5,24584.0,0,1,26.5,0.00467295,29,repair_subset,partially_repairable,,5,1,0,False,False,False,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,9.0,0.0671,3.853925,12.921025,25.921025,36615.0,940.0,37555.0,10,0,2,5,13.0,12678.0,0,0,13.0,0.00422265,29,repair_subset,partially_repairable,,5,1,0,False,False,False,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,9.0,0.07010000000000001,3.698775,12.768875,17.268875,39111.0,1101.0,40212.0,11,0,2,5,4.5,4678.0,0,0,4.5,0.00406005,29,repair_subset,partially_repairable,,5,1,0,False,False,False,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,0.0,0.07900000000000001,4.145705,4.224705,8.724705,43093.0,1420.0,44513.0,12,0,2,9,4.5,4678.0,0,0,4.5,0.00505035,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
