seed,variant,n,raw_total,post_raw_total,path_unique,post_path_unique,root_unique,post_root_entropy,shared_frac,post_shared_frac,path_prob_min,path_prob_p10,path_prob_med,path_prob_p90,path_prob_max,post_path_prob_med,post_path_prob_p90,prob_floor,path_prob_below_floor_frac,edge_prob_below_floor_frac,loss_clip,clip_hit_frac,shared_est_loss_mean,shared_est_loss_p90,shared_est_loss_max,edge_est_loss_mean,edge_est_loss_p90,edge_est_loss_max
0,baseline,100,3.7911897,4.526706266666666,87,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006604269051737477,0.0014065134975129391,0.004451079517787214,0.02479921180655093,0.07554985529644873,0.006689457524313059,0.02644076992450717,0.0,0.0,0.0,,0.0,30.988511233526573,93.77848955709605,246.94350244645727,9.42178959620991,21.399769278762445,330.82832980053155
0,clip100,100,3.7911897,4.526706266666666,87,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006604269051737477,0.0014065134975129391,0.004451079517787214,0.02479921180655093,0.07554985529644873,0.006689457524313059,0.02644076992450717,0.0,0.0,0.0,100.0,0.02558139534883721,27.343639965835063,93.77848955709605,100.0,8.34963813062449,21.399769278762445,100.0
0,clip50,100,3.7911897,4.526706266666666,87,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006604269051737477,0.0014065134975129391,0.004451079517787214,0.02479921180655093,0.07554985529644873,0.006689457524313059,0.02644076992450717,0.0,0.0,0.0,50.0,0.08604651162790698,20.062959253037228,50.0,50.0,6.625674066811279,21.399769278762445,50.0
0,eta_shared002,100,3.7911656999999996,4.526699600000001,86,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006605153795846728,0.0014065134975129391,0.004451079517787214,0.023687109552392793,0.07057576491603268,0.006689344226964348,0.02637135692511832,0.0,0.0,0.0,,0.0,31.557583302986966,93.78081603124546,246.94347980933026,9.42192673434961,21.40277413270055,330.7840161592431
0,floor0001,100,3.7911897,4.526706266666666,87,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006604269051737477,0.0014065134975129391,0.004451079517787214,0.02479921180655093,0.07554985529644873,0.006689457524313059,0.02644076992450717,0.001,0.03,0.005917159763313609,,0.0,30.89442036571778,93.77848955709605,246.94350244645727,9.065533669519144,21.399769278762445,218.487929993965
0,floor0002,100,3.7911897,4.526706266666666,87,64,5,2.1337115326542366,0.92,0.9333333333333333,0.0006604269051737477,0.0014065134975129391,0.004451079517787214,0.02479921180655093,0.07554985529644873,0.006689457524313059,0.02644076992450717,0.002,0.26,0.03550295857988166,,0.0,26.864460777832956,70.18859384429692,191.8522933011466,7.92993533719274,20.55901794371544,109.2439649969825
0,floor0005,100,3.5450199,4.198479866666666,88,66,5,2.2036822679379076,0.91,0.92,0.00043199527254086765,0.001201820827373929,0.0037487510497237393,0.02232585939908376,0.04002778258840352,0.005151718778957639,0.02644076992450717,0.005,0.56,0.09482758620689655,,0.0,15.171074192910725,37.439529269764634,76.74091732045865,5.301712389786552,17.551627015547407,61.73587561161432
1,baseline,100,3.6358501999999997,4.0883829333333335,86,66,5,2.2269335012365294,0.92,0.8933333333333333,0.0006243866696370544,0.0012152984827897059,0.005167764138889039,0.02113972728843279,0.03453080214061262,0.00552719894456206,0.024725437918197448,0.0,0.0,0.0,,0.0,31.31490819773315,86.97113480097602,181.48670910676236,8.932932804917883,18.494843406605124,189.26972292519068
1,clip100,100,3.6358501999999997,4.0883829333333335,86,66,5,2.2269335012365294,0.92,0.8933333333333333,0.0006243866696370544,0.0012152984827897059,0.005167764138889039,0.02113972728843279,0.03453080214061262,0.00552719894456206,0.024725437918197448,0.0,0.0,0.0,100.0,0.03131991051454139,28.23501116749952,86.97113480097602,100.0,7.9747486950546405,18.494843406605124,100.0
1,clip50,100,3.6358501999999997,4.0883829333333335,86,66,5,2.2269335012365294,0.92,0.8933333333333333,0.0006243866696370544,0.001210688563056374,0.005167764138889039,0.02113972728843279,0.03453080214061262,0.00552719894456206,0.024725437918197448,0.0,0.0,0.0,50.0,0.087248322147651,20.975835244807243,50.0,50.0,6.404190586407101,18.494843406605124,50.0
