dataset_index,task_id,_task_type,_required_pattern,diagnostic_pattern,_match_status,repeat_index,raw_total_cost,raw_terminal_penalty,raw_total_cost_with_token_penalty,raw_path_cost_component,raw_reasoning_cost_component,api_cost_total_usd_raw,total_tokens_total,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,exact_match,final_action,selected_missing_vs_oracle,deferred_missing_vs_oracle,oracle_tools_missing_from_stage5_replay
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,ddddd,mismatched,0,6.8316,0.0,6.8316,0.0776,6.754,0.0124894,50219.0,True,True,True,repair_all,[],[],[]
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,ddddd,mismatched,1,6.44435,0.0,6.44435,0.0776,6.36675,0.0063812999999999995,47226.0,True,True,True,repair_all,[],[],[]
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,ddddd,mismatched,2,6.870100000000001,0.0,6.870100000000001,0.0776,6.7925,0.0065454,50296.0,True,True,True,repair_all,[],[],[]
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,fffff,matched,0,2.84204,0.0,42.59204,0.0587,2.78334,0.0084387,37236.0,True,True,True,repair_all,[],[],[]
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,fffff,matched,1,2.8134799999999998,0.0,42.31348,0.0587,2.75478,0.0076611,37104.0,True,True,True,repair_all,[],[],[]
1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],mostly_f,fffff,fffff,matched,2,2.816,0.0,42.316,0.0587,2.7573,0.0071379,37125.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,ddddd,mismatched,0,6.4091000000000005,0.0,6.4091000000000005,0.0776,6.3315,0.0092818,47145.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,ddddd,mismatched,1,6.4101,0.0,6.4101,0.0776,6.3325,0.0070482,47147.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,ddddd,mismatched,2,6.436100000000001,0.0,6.436100000000001,0.0776,6.3585,0.0109462,47199.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,fffff,matched,0,2.81516,0.0,42.31516,0.0587,2.75646,0.0115122,37107.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,fffff,matched,1,2.8223,0.0,42.3223,0.0587,2.7636,0.007837799999999999,37143.0,True,True,True,repair_all,[],[],[]
3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],mostly_f,fffff,fffff,matched,2,2.81502,0.0,42.31502,0.0587,2.75632,0.0055114,37108.0,True,True,True,repair_all,[],[],[]
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,ddddd,matched,0,19.24413,12.0,19.24413,0.0776,7.16653,0.024798099999999997,97441.0,False,False,False,repair_all,[],"[""data_usage_exceeded""]",[]
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,ddddd,matched,1,8.29315,0.0,8.29315,0.0776,8.21555,0.0232906,113324.0,True,True,True,repair_subset,[],[],[]
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,ddddd,matched,2,13.653770000000002,6.0,13.653770000000002,0.0776,7.57617,0.018095,103296.0,True,False,True,repair_subset,[],[],[]
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,fffff,mismatched,0,21.095545,14.0,67.845545,0.0587,7.036845,0.0145354,43227.0,False,False,False,repair_subset,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]","[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""toggle_wifi_calling""]"
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,fffff,mismatched,1,22.19242,15.0,69.19242,0.0587,7.13372,0.01137215,43216.0,False,False,False,repair_subset,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]","[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_wifi_calling""]"
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Hard],mostly_d,ddddd,fffff,mismatched,2,21.64037,14.0,70.89037,0.0587,7.58167,0.00868815,45068.0,False,False,False,repair_all,[],"[""data_usage_exceeded""]",[]
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,ddddd,matched,0,17.16289,12.0,17.16289,0.0776,5.08529,0.01976025,68489.0,False,False,False,repair_all,[],"[""data_usage_exceeded""]",[]
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,ddddd,matched,1,4.6547600000000005,0.0,4.6547600000000005,0.0776,4.57716,0.0172372,60807.0,True,True,True,repair_subset,[],[],[]
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,ddddd,matched,2,16.99825,12.0,16.99825,0.0776,4.92065,0.013266149999999999,65795.0,False,False,False,repair_all,[],"[""data_usage_exceeded""]",[]
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,fffff,mismatched,0,21.203735,14.0,67.453735,0.0587,7.145035,0.014905749999999999,42785.0,False,False,False,repair_all,[],"[""data_usage_exceeded""]",[]
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,fffff,mismatched,1,20.926285,14.0,66.17628500000001,0.0587,6.867585,0.01017695,41916.0,False,False,False,repair_subset,"[""break_apn_mms_setting""]","[""data_usage_exceeded""]","[""reboot_device"", ""reset_apn_settings""]"
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],mostly_d,ddddd,fffff,mismatched,2,20.98162,14.0,66.23161999999999,0.0587,6.92292,0.00767975,41805.0,False,False,False,repair_subset,"[""break_apn_mms_setting"", ""break_app_sms_permission""]","[""data_usage_exceeded""]","[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings""]"
