seed,method,episode_count,episode_index,dataset_index,raw_total_cost,cumulative_raw_total_cost,cumulative_raw_total_cost_per_episode,raw_terminal_penalty,raw_reasoning_cost_component,schedule_phase,exact_match,terminal_clear_success_proxy,terminal_auxiliary_success_proxy
0,risky_ps,1,0,1,4.831605,4.831605,4.831605,0.0,4.764905,trap_pre_switch,True,True,True
0,risky_ps,2,1,3,4.890479999999999,9.722085,4.8610425,0.0,4.82518,trap_pre_switch,True,True,True
0,risky_ps,3,2,6,5.167730000000001,14.889815,4.9632716666666665,0.0,5.09273,trap_pre_switch,True,True,True
0,risky_ps,4,3,15,5.343605,20.233420000000002,5.058355000000001,0.0,5.267805,trap_pre_switch,True,True,True
0,risky_ps,5,4,17,4.925605,25.159025000000003,5.031805,0.0,4.861405,trap_pre_switch,True,True,True
0,risky_ps,6,5,18,5.727475,30.886500000000005,5.147750000000001,0.0,5.652275,trap_pre_switch,True,True,True
0,risky_ps,7,6,19,3.95894,34.84544,4.97792,0.0,3.89574,trap_pre_switch,True,True,True
0,risky_ps,8,7,20,4.42468,39.270120000000006,4.908765000000001,0.0,4.36458,trap_pre_switch,True,True,True
0,risky_ps,9,8,21,4.840875,44.110995,4.901221666666667,0.0,4.768375,trap_pre_switch,True,True,True
0,risky_ps,10,9,22,4.91523,49.026225000000004,4.9026225000000005,0.0,4.84213,trap_pre_switch,True,True,True
0,risky_ps,11,10,1,3.57594,52.60216500000001,4.782015,0.0,3.51934,trap_pre_switch,True,True,True
0,risky_ps,12,11,3,5.38526,57.98742500000001,4.832285416666667,0.0,5.30776,trap_pre_switch,True,True,True
0,risky_ps,13,12,6,3.182485,61.16991000000001,4.705377692307693,0.0,3.118385,trap_pre_switch,True,True,True
0,risky_ps,14,13,15,4.604155,65.77406500000001,4.6981475,0.0,4.533755,trap_pre_switch,True,True,True
0,risky_ps,15,14,17,4.583775,70.35784000000001,4.690522666666667,0.0,4.515475,trap_pre_switch,True,True,True
0,risky_ps,16,15,18,6.461374999999999,76.81921500000001,4.801200937500001,0.0,6.385375,trap_pre_switch,True,True,True
0,risky_ps,17,16,19,5.69907,82.51828500000002,4.854016764705883,0.0,5.62487,trap_pre_switch,True,True,True
0,risky_ps,18,17,20,4.46718,86.98546500000002,4.832525833333334,0.0,4.40108,trap_pre_switch,True,True,True
0,risky_ps,19,18,21,8.065900000000001,95.05136500000002,5.002703421052632,0.0,7.988,trap_pre_switch,True,True,True
0,risky_ps,20,19,22,5.851,100.90236500000002,5.045118250000001,0.0,5.7817,trap_pre_switch,True,True,True
0,risky_ps,21,20,1,4.247415,105.14978000000002,5.007132380952382,0.0,4.186615,trap_pre_switch,True,True,True
0,risky_ps,22,21,3,3.7567049999999997,108.90648500000002,4.950294772727274,0.0,3.689605,trap_pre_switch,True,True,True
0,risky_ps,23,22,6,5.366065,114.27255000000002,4.968371739130435,0.0,5.292165,trap_pre_switch,True,True,True
0,risky_ps,24,23,15,5.0697,119.34225000000002,4.972593750000001,0.0,4.9955,trap_pre_switch,True,True,True
0,risky_ps,25,24,17,4.595575,123.93782500000002,4.9575130000000005,0.0,4.515475,trap_pre_switch,True,True,True
0,risky_ps,26,25,2,3.7305699999999997,127.66839500000002,4.910322884615385,0.0,3.65697,target_post_switch,True,True,True
0,risky_ps,27,26,9,10.713439999999999,138.38183500000002,5.125253148148149,6.0,4.63484,target_post_switch,True,True,False
0,risky_ps,28,27,10,11.35756,149.73939500000003,5.347835535714287,6.0,5.28556,target_post_switch,True,True,False
0,risky_ps,29,28,13,17.20486,166.94425500000003,5.756698448275863,12.0,5.13176,target_post_switch,False,False,False
0,risky_ps,30,29,16,5.1153699999999995,172.05962500000004,5.7353208333333345,0.0,5.05157,target_post_switch,True,True,True
0,risky_ps,31,30,32,4.01635,176.07597500000003,5.6798701612903235,0.0,3.94535,target_post_switch,True,True,True
0,risky_ps,32,31,33,4.75207,180.82804500000003,5.650876406250001,0.0,4.68257,target_post_switch,True,True,True
0,risky_ps,33,32,34,6.0179800000000006,186.84602500000003,5.6620007575757585,0.0,5.94148,target_post_switch,True,True,True
0,risky_ps,34,33,35,4.93414,191.78016500000004,5.6405930882352955,0.0,4.86624,target_post_switch,True,True,True
0,risky_ps,35,34,36,4.07495,195.85511500000004,5.59586042857143,0.0,4.01205,target_post_switch,True,True,True
0,risky_ps,36,35,2,5.6888,201.54391500000003,5.598442083333334,0.0,5.6098,target_post_switch,True,True,True
0,risky_ps,37,36,9,18.48454,220.02845500000004,5.946715000000001,12.0,6.41044,target_post_switch,False,False,False
0,risky_ps,38,37,10,12.10465,232.13310500000003,6.108765921052632,6.0,6.02935,target_post_switch,True,True,False
0,risky_ps,39,38,13,11.41319,243.54629500000004,6.244776794871796,6.0,5.34079,target_post_switch,True,True,False
0,risky_ps,40,39,16,5.40314,248.94943500000005,6.223735875000001,0.0,5.33174,target_post_switch,True,True,True
0,risky_ps,41,40,32,4.7734499999999995,253.72288500000005,6.188363048780489,0.0,4.70095,target_post_switch,True,True,True
0,risky_ps,42,41,33,4.65045,258.37333500000005,6.1517460714285725,0.0,4.57325,target_post_switch,True,True,True
0,risky_ps,43,42,34,19.498065,277.87140000000005,6.46212558139535,14.0,5.434265,target_post_switch,False,False,False
0,risky_ps,44,43,35,4.19248,282.06388000000004,6.410542727272728,0.0,4.11998,target_post_switch,True,True,True
0,risky_ps,45,44,36,20.103005,302.16688500000004,6.714819666666667,14.0,6.039005,target_post_switch,False,False,False
0,risky_ps,46,45,2,4.23408,306.40096500000004,6.660890543478262,0.0,4.15128,target_post_switch,True,True,True
0,risky_ps,47,46,9,13.40026,319.80122500000004,6.804281382978725,6.0,7.33446,target_post_switch,True,True,False
0,risky_ps,48,47,10,19.47038,339.271605,7.0681584375,12.0,7.40128,target_post_switch,False,False,False
