seed,method,episode_index,switch_episode,selected_trap_like,selected_all_trap,selected_path_pattern,trap_path_probability_product,trap_path,trap_route_labels,stage1_trap_child_prob,stage2_trap_child_prob,stage3_trap_child_prob,stage4_trap_child_prob,stage5_trap_child_prob,stage1_arm_count,stage2_arm_count,stage3_arm_count,stage4_arm_count,stage5_arm_count
0,risky_ps,20,25,True,True,fffff,0.09192179701346713,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.175223279447368,1.0,1.0,0.5245980859585371,1.0,4,1,1,2,1
0,risky_ps,21,25,False,False,fdddd,0.07278139799490078,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.15728411386170424,1.0,1.0,0.4627383923776024,1.0,4,1,1,2,1
0,risky_ps,22,25,False,False,dffdd,0.07599102997674703,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.1642202834873858,1.0,1.0,0.4627383923776024,1.0,4,1,1,2,1
0,risky_ps,23,25,False,False,ddddd,0.0797111892788517,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.17225972729275077,1.0,1.0,0.4627383923776024,1.0,4,1,1,2,1
0,risky_ps,24,25,False,False,ddddd,0.08326166658018944,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.17993248010475538,1.0,1.0,0.4627383923776024,1.0,4,1,1,2,1
0,risky_ps_old,20,25,True,True,fffff,0.08806818832972388,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.1689421094467133,1.0,1.0,0.5212921078004049,1.0,4,1,1,2,1
0,risky_ps_old,21,25,False,False,fdddd,0.06892810111158598,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.15091488029361552,1.0,1.0,0.45673495534357855,1.0,4,1,1,2,1
0,risky_ps_old,22,25,False,False,dffdd,0.07181459341424,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.15723472130618407,1.0,1.0,0.45673495534357855,1.0,4,1,1,2,1
0,risky_ps_old,23,25,False,False,ddddd,0.07484535312023047,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.16387042910680683,1.0,1.0,0.45673495534357855,1.0,4,1,1,2,1
0,risky_ps_old,24,25,False,False,ddddd,0.07834841153736544,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.17154021302886244,1.0,1.0,0.45673495534357855,1.0,4,1,1,2,1
0,direct_multistage_exp3,20,25,False,False,ddddd,0.09772927231588101,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.14672514225413277,1.0,1.0,0.6660703872183725,1.0,4,1,1,2,1
0,direct_multistage_exp3,21,25,False,False,dffff,0.10303419038793558,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.15468964296434878,1.0,1.0,0.6660703872183725,1.0,4,1,1,2,1
0,direct_multistage_exp3,22,25,False,False,ffddd,0.10591881921881305,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.15902045977625387,1.0,1.0,0.6660703872183725,1.0,4,1,1,2,1
0,direct_multistage_exp3,23,25,False,False,dfddd,0.11002885179548054,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.16519102771552485,1.0,1.0,0.6660703872183725,1.0,4,1,1,2,1
0,direct_multistage_exp3,24,25,False,False,ddddd,0.11469750006511235,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.17220026932004792,1.0,1.0,0.6660703872183725,1.0,4,1,1,2,1
0,epsilon_exp3,20,25,False,False,ffdff,0.16363719169762586,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.25693019312821347,1.0,1.0,0.6368935846164546,1.0,4,1,1,2,1
0,epsilon_exp3,21,25,True,False,fffdd,0.16785618396305022,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.26355452153617676,1.0,1.0,0.6368935846164546,1.0,4,1,1,2,1
0,epsilon_exp3,22,25,False,False,ddddd,0.17099606362476502,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.23840979434350548,1.0,1.0,0.7172359008807774,1.0,4,1,1,2,1
0,epsilon_exp3,23,25,True,False,fffdd,0.17950522909857897,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.250273625285828,1.0,1.0,0.7172359008807774,1.0,4,1,1,2,1
0,epsilon_exp3,24,25,True,True,fffff,0.1814599230246966,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c01 > stage3_n4__from__n0014__c01 > stage4_n4__from__n0043__c02 > stage5_n4__from__n0130__c01,trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,0.2261212162310771,1.0,1.0,0.8024895940735594,1.0,4,1,1,2,1
